" ","2011","2017"
"Crimes","",""
"Violent Crimes","694","703"
"Homicide","7","7"
"Rape (Forcible Rape prior to 2014)","66","107"
"Rape","61","106"
"Attempted Rape","5","1"
"Robbery","108","160"
"Weapon","",""
"Firearm","28","35"
"Knife or Cutting Instrument","12","13"
"Other Weapon","12","19"
"Strong-Arm","56","93"
"Location","",""
"Highway","8","17"
"Commercial","37","48"
"Gas Station","3","12"
"Convenience Store","5","7"
"Residence","19","20"
"Bank","6","4"
"Miscellaneous","30","52"
"Aggravated Assault","513","429"
"Weapon","",""
"Firearm","19","53"
"Knife or Cutting Instrument","49","43"
"Other Weapon","213","159"
"Hands  Fists  Feet","232","174"
"Property Crimes","7,623","6,969"
"Burglary","1,661","1,146"
"Means of Entry","",""
"Forcible Entry","797","573"
"No Force","864","573"
"Location / Time","",""
"Residence","977","683"
"Night","175","177"
"Day","344","209"
"Unknown","458","297"
"Non-Residence","684","463"
"Night","248","186"
"Day","167","97"
"Unknown","269","180"
"Motor Vehicle Theft","550","658"
"Automotive","295","484"
"Trucks and Buses","166","83"
"Other","89","91"
"Larceny-Theft","5,412","5,165"
"Type","",""
"Pocket-Picking","12","20"
"Purse-Snatching","16","33"
"Shoplifting","842","996"
"From Motor Vehicle","2,029","2,002"
"Motor Vehicle Accessories","492","233"
"Bicycles","104","151"
"From Building","655","592"
"Coin Operated Machine","9","9"
"Other","1,253","1,129"
"Value","",""
"Over $400","2,159","2,184"
"Over $200","0","0"
"$200 through $400","927","728"
"$50 through $199","1,021","1,058"
"Under $50","1,305","1,195"
"Arson","32","53"
"Structural Property","18","33"
"Mobile Property","1","3"
"Other Property","13","17"
