" ","2011","2017"
"Crimes","",""
"Violent Crimes","5,803","5,745"
"Homicide","55","85"
"Rape (Forcible Rape prior to 2014)","172","336"
"Rape","162","319"
"Attempted Rape","10","17"
"Robbery","1,455","1,214"
"Weapon","",""
"Firearm","467","386"
"Knife or Cutting Instrument","188","104"
"Other Weapon","141","117"
"Strong-Arm","659","607"
"Location","",""
"Highway","787","563"
"Commercial","192","206"
"Gas Station","11","34"
"Convenience Store","72","80"
"Residence","183","162"
"Bank","22","8"
"Miscellaneous","188","161"
"Aggravated Assault","4,121","4,110"
"Weapon","",""
"Firearm","1,035","1,099"
"Knife or Cutting Instrument","737","578"
"Other Weapon","1,287","1,199"
"Hands  Fists  Feet","1,062","1,234"
"Property Crimes","41,761","30,354"
"Burglary","10,322","6,757"
"Means of Entry","",""
"Forcible Entry","7,042","5,100"
"No Force","3,280","1,657"
"Location / Time","",""
"Residence","6,863","3,999"
"Night","2,176","1,300"
"Day","3,956","1,868"
"Unknown","731","831"
"Non-Residence","3,459","2,758"
"Night","1,938","1,547"
"Day","1,128","794"
"Unknown","393","417"
"Motor Vehicle Theft","7,311","4,385"
"Automotive","5,636","3,341"
"Trucks and Buses","941","677"
"Other","734","367"
"Larceny-Theft","24,128","19,212"
"Type","",""
"Pocket-Picking","171","41"
"Purse-Snatching","45","34"
"Shoplifting","3,079","2,646"
"From Motor Vehicle","7,494","6,929"
"Motor Vehicle Accessories","3,658","2,471"
"Bicycles","1,345","711"
"From Building","1,941","1,570"
"Coin Operated Machine","60","34"
"Other","6,335","4,776"
"Value","",""
"Over $400","8,511","6,347"
"Over $200","0","0"
"$200 through $400","3,658","2,370"
"$50 through $199","5,848","4,298"
"Under $50","6,111","6,197"
"Arson","318","524"
"Structural Property","72","136"
"Mobile Property","149","181"
"Other Property","97","207"
