State,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson
La Habra Heights,5426,4,0,1,1,2,95,29,60,6,1
Lake Elsinore,66136,177,1,12,57,107,2145,299,1507,339,1
Lake Forest,84224,133,0,19,24,90,757,166,504,87,2
Lakeport,4775,28,0,3,6,19,242,58,160,24,0
Lake Shastina,2562,1,0,0,0,1,21,7,11,3,0
Lakewood,81317,318,3,13,151,151,2422,438,1725,259,4
La Mesa,60425,160,3,11,50,96,1193,177,823,193,7
La Mirada,49328,104,2,7,34,61,906,143,625,138,1
Lancaster,160653,1219,15,80,337,787,3318,935,1733,650,40
La Palma,15811,19,0,0,7,12,363,140,190,33,1
La Puente,40467,148,0,14,43,91,444,92,190,162,3
La Quinta,41528,67,0,8,32,27,1197,168,963,66,0
La Verne,32613,92,0,11,27,54,766,137,563,66,3
Lawndale,33205,178,2,3,66,107,433,75,214,144,2
Lemon Grove,27113,171,1,4,55,111,618,93,422,103,0
Lemoore,25999,141,3,20,21,97,434,93,267,74,4
Lincoln,47741,44,2,19,6,17,605,108,435,62,3
Lindsay,13513,45,2,0,13,30,273,58,149,66,7
Livermore,90485,166,0,30,48,88,1977,191,1510,276,22
Livingston,14117,54,0,2,12,40,285,95,154,36,6
Lodi,65042,323,1,13,127,182,1681,347,985,349,8
Loma Linda,24265,39,0,6,12,21,610,112,401,97,1
Lomita,20764,56,1,3,13,39,402,90,241,71,1
Lompoc,43948,243,2,34,37,170,974,225,598,151,8
Long Beach,471397,3101,22,203,1237,1639,12598,2765,7104,2729,127
Los Alamitos,11671,16,0,5,10,1,202,73,105,24,0
Los Altos,30816,10,0,3,2,5,321,87,215,19,3
Los Altos Hills,8579,2,0,1,0,1,59,22,36,1,4
Los Angeles,4007147,30507,281,2455,10814,16957,101618,16668,65757,19193,1414
Los Banos,37910,138,2,6,41,89,1073,217,695,161,8
Los Gatos,30720,14,0,3,4,7,431,70,319,42,0
Lynwood,71453,458,8,16,220,214,1681,293,688,700,22
Madera,64939,378,4,32,107,235,1702,336,967,399,16
Malibu,12918,38,0,8,6,24,366,78,255,33,0
Mammoth Lakes,7956,27,0,5,5,17,147,21,115,11,0
Manhattan Beach,35843,71,0,11,36,24,875,179,625,71,3
Manteca,78564,256,4,18,89,145,2240,302,1616,322,14
Marina,22030,54,0,7,14,33,405,72,288,45,2
Martinez,38619,54,0,7,20,27,619,78,318,223,0
Marysville,12275,95,1,6,20,68,508,107,265,136,14
Maywood,27671,115,2,8,39,66,364,68,157,139,3
McFarland,14882,67,2,16,5,44,179,54,82,43,12
Mendota,11459,74,0,5,7,62,124,38,59,27,1
Menifee,90403,123,3,8,43,69,1972,326,1373,273,2
Menlo Park,34195,53,0,15,15,23,656,95,527,34,0
Merced,83180,563,8,28,158,369,2668,472,1706,490,92
Mill Valley,14423,9,0,0,3,6,211,36,163,12,0
Milpitas,79503,114,2,12,58,42,1978,235,1447,296,4
Mission Viejo,96928,101,1,13,26,61,969,158,733,78,1
Modesto,213677,2074,20,110,519,1425,8465,1188,5865,1412,63
Monrovia,37214,66,2,12,26,26,848,120,645,83,2
Montague,1392,9,1,2,0,6,18,10,6,2,0
Montclair,39318,230,1,25,85,119,1534,284,870,380,15
Montebello,63473,203,2,9,82,110,1644,665,519,460,103
Monterey,28584,125,0,17,58,50,1206,162,964,80,5
Monterey Park,61210,112,1,10,55,46,1613,439,955,219,4
Monte Sereno,3583,0,0,0,0,0,11,3,8,0,0
Moorpark,36813,48,0,8,9,31,332,55,257,20,4
Moraga,17653,6,0,1,3,2,128,29,89,10,1
Moreno Valley,207418,798,9,26,352,411,6356,1148,4050,1158,14
Morgan Hill,45277,72,0,1,18,53,722,92,507,123,2
Morro Bay,10716,22,0,2,4,16,197,35,152,10,3
Mountain View,81525,150,1,14,44,91,1982,290,1590,102,6
Mount Shasta,3276,17,1,2,1,13,66,8,48,10,1
Murrieta,113016,80,1,14,33,32,1582,254,1143,185,8
Napa,80958,272,1,39,43,189,1353,338,828,187,1
National City,61574,296,3,23,109,161,1157,132,667,358,11
Needles,5011,37,0,4,4,29,178,57,104,17,9
Nevada City,3157,8,0,0,2,6,117,22,67,28,0
Newark,46360,88,1,15,48,24,1498,201,1041,256,3
Newman,11271,13,0,0,4,9,142,46,70,26,0
Newport Beach,86910,124,0,31,21,72,2123,361,1630,132,6
Norco,26654,69,1,5,17,46,688,124,472,92,0
Norwalk,106278,437,5,17,133,282,1956,418,1123,415,7
Novato,56698,92,1,5,26,60,927,145,689,93,2
Oakdale,22886,31,0,7,6,18,586,104,400,82,3
Oakland,424915,5521,69,400,2676,2376,25422,2622,17305,5495,196
Oakley,41509,52,1,4,12,35,489,79,302,108,2
Oceanside,176815,694,9,69,165,451,4088,592,3000,496,22
Ojai,7603,4,0,2,0,2,45,11,33,1,0
Ontario3,174724,683,8,136,220,319,4473,720,2842,911,29
Orange,141130,218,4,12,64,138,2584,489,1754,341,19
Orange Cove,9674,58,5,0,6,47,95,20,52,23,0
Orinda,19760,10,0,1,6,3,153,53,94,6,1
Orland,7624,24,1,2,2,19,132,38,71,23,2
Oroville,19091,124,0,16,40,68,1427,259,970,198,12
Oxnard,209513,908,15,65,430,398,5328,787,3848,693,43
Pacifica,39353,86,1,17,20,48,528,100,383,45,3
Pacific Grove,15716,16,0,8,0,8,324,55,249,20,0
Palmdale,158094,681,4,37,218,422,2659,613,1611,435,29
Palm Desert,52845,91,0,3,30,58,2076,424,1536,116,1
Palm Springs,48193,290,5,40,94,151,1963,436,1277,250,3
Palo Alto,67441,90,0,11,39,40,1783,214,1478,91,6
Palos Verdes Estates,13611,3,0,1,2,0,125,43,77,5,0
Paradise,26610,88,0,16,9,63,295,127,131,37,2
Paramount,55041,324,6,8,125,185,1613,283,892,438,6
Parlier,15289,106,1,8,16,81,258,90,83,85,21
Pasadena,142891,574,8,51,202,313,2946,745,1842,359,42
Paso Robles,32266,35,0,3,6,26,920,126,731,63,4
Patterson,21994,46,0,3,9,34,513,50,327,136,2
Perris,77626,192,2,4,66,120,1877,270,1104,503,7
Petaluma,60957,233,1,32,40,160,946,170,712,64,9
Pico Rivera,63746,236,1,19,75,141,1432,250,853,329,5
Piedmont,11464,14,0,7,3,4,174,60,98,16,0
Pinole,19449,66,0,5,31,30,968,93,789,86,3
Pismo Beach,8291,42,0,3,4,35,393,88,283,22,1
Pittsburg,71944,341,7,34,121,179,1766,299,876,591,28
Placentia,52437,89,1,1,25,62,864,187,563,114,2
Placerville,10732,29,0,6,9,14,279,57,176,46,1
Pleasant Hill,35136,83,0,10,34,39,1739,158,1451,130,9
Pleasanton,84440,99,0,13,53,33,1661,137,1406,118,5
Pomona,153066,853,18,88,344,403,4484,718,2516,1250,26
Porterville,59245,247,4,10,58,175,1535,338,925,272,3
Port Hueneme,22374,39,2,4,14,19,396,65,287,44,6
Poway,50438,58,0,8,13,37,576,136,389,51,3
Rancho Cordova,73607,305,1,17,85,202,1410,285,899,226,1
Rancho Cucamonga,178308,329,1,46,118,164,4180,814,2998,368,7
Rancho Mirage,18347,28,0,0,13,15,572,121,411,40,0
Rancho Palos Verdes,42563,33,0,5,7,21,446,152,259,35,0
Rancho Santa Margarita,49144,32,0,4,6,22,328,45,265,18,4
Red Bluff,14169,160,0,29,31,100,960,156,698,106,10
Redding,92127,654,2,64,150,438,3841,690,2360,791,9
Redlands,71707,216,1,36,69,110,2629,426,1910,293,20
Redondo Beach,68051,176,0,18,62,96,1570,358,1042,170,0
Redwood City,86353,209,0,57,61,91,1390,177,1053,160,18
Reedley,25794,100,0,5,14,81,369,147,148,74,9
Rialto,103980,399,2,28,150,219,1684,475,596,613,3
Richmond,110804,1014,10,49,392,563,4128,698,2199,1231,42
Ridgecrest,28873,155,0,19,13,123,518,136,309,73,9
Rio Dell,3414,6,0,1,0,5,44,8,24,12,1
Rio Vista,8870,41,0,1,4,36,94,40,45,9,0
Ripon,15659,13,0,7,4,2,286,28,241,17,0
Riverbank,24669,40,0,1,21,18,562,73,431,58,2
Riverside,328023,1669,12,166,544,947,10032,1673,6629,1730,73
Rocklin,63735,66,0,14,29,23,1135,211,813,111,10
Rohnert Park,42922,218,0,29,21,168,832,110,610,112,7
Rolling Hills,1891,0,0,0,0,0,6,1,5,0,0
Rolling Hills Estates,8259,12,0,2,1,9,153,42,103,8,2
Rosemead,54615,173,1,12,59,101,1327,330,719,278,7
Roseville,135028,237,0,27,87,123,3322,389,2623,310,33
Ross,2475,2,0,0,1,1,37,8,29,0,0
