" ","2011","2017"
"Crimes","",""
"Violent Crimes","569","568"
"Homicide","5","9"
"Rape (Forcible Rape prior to 2014)","98","65"
"Rape","88","63"
"Attempted Rape","10","2"
"Robbery","151","166"
"Weapon","",""
"Firearm","32","39"
"Knife or Cutting Instrument","16","8"
"Other Weapon","7","21"
"Strong-Arm","96","98"
"Location","",""
"Highway","55","58"
"Commercial","10","22"
"Gas Station","4","6"
"Convenience Store","6","14"
"Residence","22","24"
"Bank","3","1"
"Miscellaneous","51","41"
"Aggravated Assault","315","328"
"Weapon","",""
"Firearm","22","33"
"Knife or Cutting Instrument","64","51"
"Other Weapon","73","118"
"Hands  Fists  Feet","156","126"
"Property Crimes","5,288","5,656"
"Burglary","1,216","948"
"Means of Entry","",""
"Forcible Entry","607","580"
"No Force","609","368"
"Location / Time","",""
"Residence","726","479"
"Night","237","153"
"Day","309","153"
"Unknown","180","173"
"Non-Residence","490","469"
"Night","197","177"
"Day","168","75"
"Unknown","125","217"
"Motor Vehicle Theft","443","619"
"Automotive","342","487"
"Trucks and Buses","50","63"
"Other","51","69"
"Larceny-Theft","3,629","4,089"
"Type","",""
"Pocket-Picking","25","13"
"Purse-Snatching","17","14"
"Shoplifting","533","398"
"From Motor Vehicle","889","1,460"
"Motor Vehicle Accessories","291","233"
"Bicycles","878","797"
"From Building","255","162"
"Coin Operated Machine","7","8"
"Other","734","1,004"
"Value","",""
"Over $400","1,182","1,402"
"Over $200","0","0"
"$200 through $400","770","757"
"$50 through $199","894","972"
"Under $50","783","958"
"Arson","56","73"
"Structural Property","20","39"
"Mobile Property","8","13"
"Other Property","28","21"
