" ","2011","2017"
"Crimes","",""
"Violent Crimes","1,702","2,025"
"Homicide","11","12"
"Rape (Forcible Rape prior to 2014)","138","298"
"Rape","133","297"
"Attempted Rape","5","1"
"Robbery","234","277"
"Weapon","",""
"Firearm","64","55"
"Knife or Cutting Instrument","19","37"
"Other Weapon","21","26"
"Strong-Arm","130","159"
"Location","",""
"Highway","65","77"
"Commercial","47","59"
"Gas Station","3","5"
"Convenience Store","16","6"
"Residence","42","39"
"Bank","6","10"
"Miscellaneous","55","81"
"Aggravated Assault","1,319","1,438"
"Weapon","",""
"Firearm","84","131"
"Knife or Cutting Instrument","173","204"
"Other Weapon","404","420"
"Hands  Fists  Feet","658","683"
"Property Crimes","8,307","7,586"
"Burglary","1,664","1,399"
"Means of Entry","",""
"Forcible Entry","638","596"
"No Force","1,026","803"
"Location / Time","",""
"Residence","981","668"
"Night","245","136"
"Day","526","254"
"Unknown","210","278"
"Non-Residence","683","731"
"Night","186","181"
"Day","343","241"
"Unknown","154","309"
"Motor Vehicle Theft","602","829"
"Automotive","440","554"
"Trucks and Buses","92","190"
"Other","70","85"
"Larceny-Theft","6,041","5,358"
"Type","",""
"Pocket-Picking","26","21"
"Purse-Snatching","37","27"
"Shoplifting","1,287","758"
"From Motor Vehicle","1,903","2,073"
"Motor Vehicle Accessories","381","283"
"Bicycles","409","334"
"From Building","618","457"
"Coin Operated Machine","9","11"
"Other","1,371","1,394"
"Value","",""
"Over $400","1,722","2,000"
"Over $200","0","0"
"$200 through $400","907","713"
"$50 through $199","1,003","841"
"Under $50","2,409","1,804"
"Arson","60","64"
"Structural Property","25","23"
"Mobile Property","11","6"
"Other Property","24","35"
