" ","2011","2017"
"Crimes","",""
"Violent Crimes","390","294"
"Homicide","4","5"
"Rape (Forcible Rape prior to 2014)","30","55"
"Rape","26","52"
"Attempted Rape","4","3"
"Robbery","53","36"
"Weapon","",""
"Firearm","12","7"
"Knife or Cutting Instrument","7","4"
"Other Weapon","1","1"
"Strong-Arm","33","24"
"Location","",""
"Highway","11","1"
"Commercial","5","4"
"Gas Station","2","1"
"Convenience Store","5","9"
"Residence","10","5"
"Bank","3","2"
"Miscellaneous","17","14"
"Aggravated Assault","303","198"
"Weapon","",""
"Firearm","11","11"
"Knife or Cutting Instrument","29","25"
"Other Weapon","129","88"
"Hands  Fists  Feet","134","74"
"Property Crimes","3,093","2,934"
"Burglary","1,234","711"
"Means of Entry","",""
"Forcible Entry","791","444"
"No Force","443","267"
"Location / Time","",""
"Residence","689","400"
"Night","150","127"
"Day","214","84"
"Unknown","325","189"
"Non-Residence","545","311"
"Night","236","193"
"Day","170","32"
"Unknown","139","86"
"Motor Vehicle Theft","181","238"
"Automotive","148","156"
"Trucks and Buses","5","36"
"Other","28","46"
"Larceny-Theft","1,678","1,985"
"Type","",""
"Pocket-Picking","11","9"
"Purse-Snatching","13","15"
"Shoplifting","236","233"
"From Motor Vehicle","386","561"
"Motor Vehicle Accessories","162","124"
"Bicycles","42","72"
"From Building","206","177"
"Coin Operated Machine","1","4"
"Other","621","790"
"Value","",""
"Over $400","678","802"
"Over $200","0","0"
"$200 through $400","247","286"
"$50 through $199","300","331"
"Under $50","453","566"
"Arson","13","5"
"Structural Property","7","0"
"Mobile Property","4","0"
"Other Property","2","5"
