" ","2011","2017"
"Crimes","",""
"Violent Crimes","1,409","1,557"
"Homicide","14","19"
"Rape (Forcible Rape prior to 2014)","61","64"
"Rape","58","60"
"Attempted Rape","3","4"
"Robbery","274","274"
"Weapon","",""
"Firearm","81","58"
"Knife or Cutting Instrument","18","32"
"Other Weapon","20","36"
"Strong-Arm","155","148"
"Location","",""
"Highway","109","86"
"Commercial","37","60"
"Gas Station","5","6"
"Convenience Store","23","32"
"Residence","48","37"
"Bank","4","1"
"Miscellaneous","48","52"
"Aggravated Assault","1,060","1,200"
"Weapon","",""
"Firearm","238","158"
"Knife or Cutting Instrument","112","82"
"Other Weapon","201","278"
"Hands  Fists  Feet","509","682"
"Property Crimes","9,132","7,148"
"Burglary","2,604","1,607"
"Means of Entry","",""
"Forcible Entry","1,711","1,102"
"No Force","893","505"
"Location / Time","",""
"Residence","1,686","899"
"Night","455","261"
"Day","566","357"
"Unknown","665","281"
"Non-Residence","918","708"
"Night","464","393"
"Day","181","146"
"Unknown","273","169"
"Motor Vehicle Theft","1,032","1,158"
"Automotive","853","921"
"Trucks and Buses","108","134"
"Other","71","103"
"Larceny-Theft","5,496","4,383"
"Type","",""
"Pocket-Picking","11","23"
"Purse-Snatching","17","22"
"Shoplifting","806","961"
"From Motor Vehicle","1,708","1,418"
"Motor Vehicle Accessories","368","187"
"Bicycles","277","176"
"From Building","399","373"
"Coin Operated Machine","22","10"
"Other","1,888","1,213"
"Value","",""
"Over $400","1,592","1,388"
"Over $200","0","0"
"$200 through $400","944","630"
"$50 through $199","1,379","1,026"
"Under $50","1,581","1,339"
"Arson","68","132"
"Structural Property","22","58"
"Mobile Property","12","16"
"Other Property","34","58"
