" ","2011","2017"
"Crimes","",""
"Violent Crimes","452","628"
"Homicide","3","7"
"Rape (Forcible Rape prior to 2014)","30","45"
"Rape","26","33"
"Attempted Rape","4","12"
"Robbery","83","87"
"Weapon","",""
"Firearm","9","8"
"Knife or Cutting Instrument","15","11"
"Other Weapon","14","7"
"Strong-Arm","45","61"
"Location","",""
"Highway","44","32"
"Commercial","10","8"
"Gas Station","5","5"
"Convenience Store","6","1"
"Residence","7","3"
"Bank","0","2"
"Miscellaneous","11","36"
"Aggravated Assault","336","489"
"Weapon","",""
"Firearm","32","39"
"Knife or Cutting Instrument","32","30"
"Other Weapon","165","158"
"Hands  Fists  Feet","107","262"
"Property Crimes","5,708","4,836"
"Burglary","1,940","1,293"
"Means of Entry","",""
"Forcible Entry","778","840"
"No Force","1,162","453"
"Location / Time","",""
"Residence","643","501"
"Night","183","123"
"Day","274","203"
"Unknown","186","175"
"Non-Residence","1,297","792"
"Night","415","246"
"Day","554","253"
"Unknown","328","293"
"Motor Vehicle Theft","728","526"
"Automotive","506","409"
"Trucks and Buses","117","53"
"Other","105","64"
"Larceny-Theft","3,040","3,017"
"Type","",""
"Pocket-Picking","3","5"
"Purse-Snatching","57","59"
"Shoplifting","375","587"
"From Motor Vehicle","363","483"
"Motor Vehicle Accessories","219","163"
"Bicycles","165","172"
"From Building","32","72"
"Coin Operated Machine","11","2"
"Other","1,815","1,474"
"Value","",""
"Over $400","496","569"
"Over $200","0","0"
"$200 through $400","256","308"
"$50 through $199","411","527"
"Under $50","1,877","1,613"
"Arson","32","80"
"Structural Property","11","22"
"Mobile Property","5","13"
"Other Property","16","45"
