" ","2011","2017"
"Crimes","",""
"Violent Crimes","799","891"
"Homicide","5","7"
"Rape (Forcible Rape prior to 2014)","27","56"
"Rape","27","48"
"Attempted Rape","0","8"
"Robbery","139","145"
"Weapon","",""
"Firearm","48","45"
"Knife or Cutting Instrument","15","8"
"Other Weapon","22","10"
"Strong-Arm","54","82"
"Location","",""
"Highway","18","13"
"Commercial","10","17"
"Gas Station","3","4"
"Convenience Store","12","16"
"Residence","13","17"
"Bank","1","1"
"Miscellaneous","82","77"
"Aggravated Assault","628","683"
"Weapon","",""
"Firearm","33","71"
"Knife or Cutting Instrument","62","56"
"Other Weapon","122","140"
"Hands  Fists  Feet","411","416"
"Property Crimes","3,805","3,484"
"Burglary","1,628","941"
"Means of Entry","",""
"Forcible Entry","1,039","639"
"No Force","589","302"
"Location / Time","",""
"Residence","1,078","533"
"Night","228","149"
"Day","516","194"
"Unknown","334","190"
"Non-Residence","550","408"
"Night","249","227"
"Day","151","88"
"Unknown","150","93"
"Motor Vehicle Theft","574","713"
"Automotive","524","585"
"Trucks and Buses","10","68"
"Other","40","60"
"Larceny-Theft","1,603","1,830"
"Type","",""
"Pocket-Picking","6","7"
"Purse-Snatching","17","13"
"Shoplifting","126","211"
"From Motor Vehicle","365","461"
"Motor Vehicle Accessories","92","70"
"Bicycles","34","73"
"From Building","86","241"
"Coin Operated Machine","8","13"
"Other","869","741"
"Value","",""
"Over $400","642","598"
"Over $200","0","0"
"$200 through $400","196","278"
"$50 through $199","264","384"
"Under $50","501","570"
"Arson","22","32"
"Structural Property","18","9"
"Mobile Property","1","8"
"Other Property","3","15"
