" ","2011","2017"
"Crimes","",""
"Violent Crimes","1,657","1,532"
"Homicide","10","8"
"Rape (Forcible Rape prior to 2014)","130","257"
"Rape","116","237"
"Attempted Rape","14","20"
"Robbery","298","327"
"Weapon","",""
"Firearm","52","51"
"Knife or Cutting Instrument","36","45"
"Other Weapon","29","32"
"Strong-Arm","181","199"
"Location","",""
"Highway","143","128"
"Commercial","27","45"
"Gas Station","2","7"
"Convenience Store","23","26"
"Residence","25","43"
"Bank","11","5"
"Miscellaneous","67","73"
"Aggravated Assault","1,219","940"
"Weapon","",""
"Firearm","52","70"
"Knife or Cutting Instrument","176","205"
"Other Weapon","240","271"
"Hands  Fists  Feet","751","394"
"Property Crimes","9,083","8,742"
"Burglary","2,167","1,663"
"Means of Entry","",""
"Forcible Entry","894","864"
"No Force","1,273","799"
"Location / Time","",""
"Residence","1,153","939"
"Night","298","268"
"Day","426","385"
"Unknown","429","286"
"Non-Residence","1,014","724"
"Night","311","235"
"Day","397","236"
"Unknown","306","253"
"Motor Vehicle Theft","549","1,254"
"Automotive","441","1,038"
"Trucks and Buses","33","94"
"Other","75","122"
"Larceny-Theft","6,367","5,825"
"Type","",""
"Pocket-Picking","18","30"
"Purse-Snatching","33","22"
"Shoplifting","859","780"
"From Motor Vehicle","1,302","1,248"
"Motor Vehicle Accessories","565","337"
"Bicycles","804","651"
"From Building","713","499"
"Coin Operated Machine","15","13"
"Other","2,058","2,245"
"Value","",""
"Over $400","2,057","1,984"
"Over $200","0","0"
"$200 through $400","1,071","847"
"$50 through $199","1,310","935"
"Under $50","1,929","2,059"
"Arson","73","54"
"Structural Property","26","30"
"Mobile Property","10","7"
"Other Property","37","17"
