" ","2011","2017"
"Crimes","",""
"Violent Crimes","542","754"
"Homicide","8","9"
"Rape (Forcible Rape prior to 2014)","30","88"
"Rape","28","78"
"Attempted Rape","2","10"
"Robbery","97","104"
"Weapon","",""
"Firearm","21","23"
"Knife or Cutting Instrument","10","10"
"Other Weapon","9","9"
"Strong-Arm","57","62"
"Location","",""
"Highway","24","30"
"Commercial","22","19"
"Gas Station","0","9"
"Convenience Store","9","8"
"Residence","19","18"
"Bank","0","2"
"Miscellaneous","23","18"
"Aggravated Assault","407","553"
"Weapon","",""
"Firearm","46","44"
"Knife or Cutting Instrument","58","54"
"Other Weapon","122","140"
"Hands  Fists  Feet","181","315"
"Property Crimes","3,436","2,935"
"Burglary","859","620"
"Means of Entry","",""
"Forcible Entry","473","361"
"No Force","386","259"
"Location / Time","",""
"Residence","529","417"
"Night","126","110"
"Day","192","171"
"Unknown","211","136"
"Non-Residence","330","203"
"Night","77","59"
"Day","86","67"
"Unknown","167","77"
"Motor Vehicle Theft","389","529"
"Automotive","273","290"
"Trucks and Buses","78","156"
"Other","38","83"
"Larceny-Theft","2,188","1,786"
"Type","",""
"Pocket-Picking","6","2"
"Purse-Snatching","12","11"
"Shoplifting","342","308"
"From Motor Vehicle","688","506"
"Motor Vehicle Accessories","147","134"
"Bicycles","75","53"
"From Building","301","254"
"Coin Operated Machine","18","4"
"Other","599","514"
"Value","",""
"Over $400","656","584"
"Over $200","0","0"
"$200 through $400","341","263"
"$50 through $199","649","427"
"Under $50","542","512"
"Arson","34","31"
"Structural Property","9","25"
"Mobile Property","9","2"
"Other Property","16","4"
