" ","2011","2017"
"Crimes","",""
"Violent Crimes","680","829"
"Homicide","5","2"
"Rape (Forcible Rape prior to 2014)","91","96"
"Rape","77","87"
"Attempted Rape","14","9"
"Robbery","81","85"
"Weapon","",""
"Firearm","20","19"
"Knife or Cutting Instrument","5","11"
"Other Weapon","13","10"
"Strong-Arm","43","45"
"Location","",""
"Highway","22","12"
"Commercial","1","11"
"Gas Station","2","5"
"Convenience Store","3","11"
"Residence","10","12"
"Bank","3","3"
"Miscellaneous","40","31"
"Aggravated Assault","503","646"
"Weapon","",""
"Firearm","32","27"
"Knife or Cutting Instrument","42","67"
"Other Weapon","140","131"
"Hands  Fists  Feet","289","421"
"Property Crimes","6,196","5,812"
"Burglary","1,411","1,038"
"Means of Entry","",""
"Forcible Entry","619","643"
"No Force","792","395"
"Location / Time","",""
"Residence","735","398"
"Night","175","101"
"Day","231","113"
"Unknown","329","184"
"Non-Residence","676","640"
"Night","248","276"
"Day","183","146"
"Unknown","245","218"
"Motor Vehicle Theft","425","429"
"Automotive","329","272"
"Trucks and Buses","31","68"
"Other","65","89"
"Larceny-Theft","4,360","4,345"
"Type","",""
"Pocket-Picking","6","10"
"Purse-Snatching","38","17"
"Shoplifting","585","977"
"From Motor Vehicle","1,442","1,303"
"Motor Vehicle Accessories","117","130"
"Bicycles","393","416"
"From Building","266","361"
"Coin Operated Machine","41","12"
"Other","1,472","1,119"
"Value","",""
"Over $400","1,354","1,331"
"Over $200","0","0"
"$200 through $400","792","647"
"$50 through $199","922","963"
"Under $50","1,292","1,404"
"Arson","52","36"
"Structural Property","9","7"
"Mobile Property","4","5"
"Other Property","39","24"
