County,Structural Property,Other,Convenience Store,Pocket-Picking,Knife or Cutting Instrument,Bank,Aggravated Assault,Forcible Entry,Rape (Forcible Rape prior to 2014),Highway,Motor Vehicle Accessories,Robbery,Attempted Rape,Other Weapon,Hands  Fists  Feet,$50 through $199,Purse-Snatching,Mobile Property,Violent Crimes,Non-Residence,From Motor Vehicle,Coin Operated Machine,Homicide,Commercial,Property Crimes,Automotive,Trucks and Buses,From Building,Other Property,Night,Under $50,Bicycles,Over $200,Rape,Residence,Motor Vehicle Theft,Burglary,Arson,Larceny-Theft,Shoplifting,Firearm,Unknown,Gas Station,No Force,Miscellaneous,Strong-Arm,Day
Placer,27.0,"1,125",12.0,34,41,4.0,729,252,136,13,474,141,6.0,199,440,589,52.0,6.0,"1,016",431,"1,269",3.0,10.0,39,"5,662",378,117,255,18,198,687,130,"3,091",130,299,565,730,51,"4,367","1,025",49,125,5.0,478,53,83,108
Plumas,2.0,100,0.0,13,6,0.0,144,40,4,0,10,4,1.0,54,79,37,4.0,1.0,152,40,35,1.0,0.0,0,288,10,6,16,3,3,44,7,120,3,29,18,69,6,201,15,5,0,0.0,29,1,3,37
Riverside,63.0,"10,131",172.0,404,718,16.0,"5,696","6,519",529,386,"4,743","1,784",57.0,"2,300","1,768","5,285",104.0,47.0,"8,122","5,529","11,484",47.0,113.0,395,"56,431","5,799","2,974","3,786",228,"2,592","9,059",856,"22,375",472,"3,422","10,761","8,951",338,"36,719","5,164",910,"1,301",115.0,"2,432",480,561,"1,636"
Sacramento,99.0,"9,700",90.0,85,810,16.0,"6,181","3,921",426,806,"3,969","2,185",10.0,"2,504","1,449","2,893",89.0,52.0,"8,894","3,451","6,552",11.0,102.0,715,"37,252","4,477","2,017","1,147",180,"1,602","5,296",749,"16,025",416,"2,368","7,219","5,819",331,"24,214","1,912","1,418",756,71.0,"1,898",213,"1,244","1,093"
San Benito,2.0,89,0.0,1,15,0.0,150,56,32,6,54,26,0.0,59,54,48,2.0,2.0,211,52,80,0.0,3.0,4,510,53,15,16,7,20,74,9,212,32,34,90,86,11,334,83,22,2,1.0,30,10,10,30
San Bernardino,182.0,"5,899",186.0,538,"1,139",23.0,"9,224","6,187",850,712,"5,715","2,417",54.0,"2,714","3,163","3,146",108.0,111.0,"12,677","5,370","7,580",45.0,186.0,596,"43,357","5,857","1,929","1,226",204,"2,693","5,435",378,"17,991",796,"2,908","8,507","8,278",497,"26,572","5,083","2,208","1,356",119.0,"2,091",480,"1,168","1,321"
San Diego,116.0,"9,382",238.0,116,"1,769",41.0,"8,972","4,675",755,668,"3,264","2,664",9.0,"2,981","3,024","5,009",163.0,70.0,"12,497","5,157","11,811",62.0,106.0,893,"52,736","9,747",155,"1,800",241,"2,969","4,739","2,251","23,217",746,"2,399","12,215","7,556",427,"32,965","4,116","1,198",18,90.0,"2,881",575,"1,512","2,170"
San Francisco,218.0,"7,939",123.0,449,314,34.0,"2,645","3,373",311,535,"1,097","2,444",15.0,"1,161",800,"3,326",26.0,116.0,"5,456","3,590","21,704",3.0,56.0,75,"48,411","4,386",898,"1,640",19,"2,364","5,376",403,"27,344",296,"2,416","6,359","6,006",353,"36,046","2,785",370,10,11.0,"2,633","1,623","1,456","1,216"
San Joaquin,80.0,"1,994",139.0,55,364,19.0,"3,726","2,131",273,306,"1,966","1,250",3.0,"1,410",464,"1,351",55.0,51.0,"5,309","1,931","2,930",2.0,60.0,257,"15,472","1,737",266,922,145,947,"2,309",116,"6,708",270,948,"2,225","2,879",276,"10,368","2,328","1,488",308,61.0,748,283,531,676
San Luis Obispo,14.0,910,16.0,298,106,3.0,"1,012",630,132,25,426,105,4.0,294,545,597,7.0,3.0,"1,252",575,889,5.0,3.0,14,"5,150",247,116,267,41,213,832,402,"2,335",128,374,437,949,58,"3,764",560,67,82,9.0,319,31,67,280
San Mateo,33.0,"1,817",38.0,111,175,8.0,"1,501",855,230,153,"2,069",551,11.0,612,536,"1,547",77.0,10.0,"2,295","1,487","3,135",12.0,13.0,141,"15,538","1,299",418,788,65,669,"2,413",547,"7,165",219,857,"2,069","2,344",108,"11,125","2,569",178,158,12.0,"1,489",143,324,660
Santa Barbara,36.0,"1,389",22.0,44,187,2.0,"1,117",716,190,149,834,386,5.0,365,368,734,44.0,9.0,"1,714",698,"1,580",10.0,21.0,72,"8,723","1,326",239,320,58,321,"1,297",847,"3,627",185,486,"1,881","1,184",103,"5,658",590,197,93,9.0,468,92,184,284
Santa Clara,106.0,"6,849",182.0,226,897,20.0,"4,372","5,245","1,196",668,"5,187","1,818",15.0,"1,886",872,"3,252",144.0,69.0,"7,427","4,893","11,339",22.0,41.0,469,"47,914","4,949","3,659","1,995",174,"2,451","7,093","2,053","20,843","1,181","2,497","9,336","7,390",349,"31,188","3,373",717,"1,325",50.0,"2,145",224,"1,086","1,117"
Santa Cruz,25.0,876,28.0,31,103,1.0,830,538,143,48,371,225,10.0,309,362,487,21.0,5.0,"1,200",534,"1,357",8.0,2.0,27,"5,239",366,153,292,41,314,888,422,"2,507",133,220,603,754,71,"3,882",504,56,62,8.0,216,85,134,158
Shasta,0.0,97,1.0,1,8,1.0,47,49,11,3,24,12,1.0,14,8,57,2.0,0.0,70,38,50,0.0,0.0,5,622,97,106,28,3,8,85,10,161,10,36,245,74,3,303,91,17,0,0.0,25,2,7,30
Sierra,0.0,6,0.0,0,0,0.0,10,3,0,0,0,0,0.0,7,3,3,0.0,0.0,10,3,0,0.0,0.0,0,19,1,0,3,2,0,3,1,4,0,5,1,8,2,10,0,0,0,0.0,5,0,0,3
Siskiyou,2.0,142,0.0,17,32,0.0,278,85,32,5,31,8,1.0,70,154,75,2.0,0.0,319,67,102,2.0,1.0,0,737,66,41,41,0,32,110,10,261,31,80,144,147,2,446,99,22,13,0.0,62,1,4,22
Solano,12.0,430,4.0,0,23,1.0,201,205,33,5,66,40,2.0,80,66,92,4.0,7.0,279,188,126,0.0,5.0,5,"1,227",116,4,43,2,56,180,9,522,31,114,131,302,21,794,116,32,28,4.0,97,12,22,104
Sonoma,88.0,"1,450",49.0,38,170,14.0,"1,563",841,242,137,"2,143",661,6.0,458,516,828,21.0,5.0,"2,503","1,009","2,551",3.0,37.0,167,"11,856","1,253",692,608,46,554,"2,059",128,"5,097",236,715,"2,148","1,724",139,"7,984","1,042",419,70,45.0,883,161,300,385
Stanislaus,26.0,"1,420",9.0,8,191,11.0,"1,114",480,319,66,619,227,11.0,378,389,555,19.0,16.0,"1,682",646,995,10.0,22.0,38,"5,996",597,188,231,52,305,736,265,"2,827",308,347,885,993,94,"4,118",551,156,50,9.0,513,71,85,291
Sutter,58.0,"2,261",69.0,28,198,15.0,"2,134","1,028",223,103,"1,019",589,13.0,739,896,"1,163",33.0,38.0,"2,973",965,"1,987",8.0,27.0,161,"11,292","1,160",450,411,96,473,"2,012",171,"4,826",210,563,"1,763","1,528",192,"8,001","2,083",301,163,19.0,500,162,313,329
Tehama,2.0,442,5.0,4,28,2.0,342,130,61,13,295,71,0.0,121,120,211,7.0,2.0,476,155,393,1.0,2.0,24,"2,362",309,193,63,3,60,306,28,993,61,121,576,276,7,"1,510",277,73,0,1.0,146,11,44,95
Trinity,13.0,333,5.0,8,27,0.0,230,41,51,12,118,41,1.0,90,64,120,9.0,2.0,326,115,174,1.0,4.0,9,"1,486",151,131,39,38,38,234,54,549,50,127,341,242,53,903,167,49,17,1.0,201,7,26,60
Tulare,1.0,71,0.0,0,7,0.0,80,46,5,1,39,2,0.0,27,41,14,2.0,1.0,87,32,4,0.0,0.0,0,238,7,22,3,7,5,56,4,60,5,42,34,74,9,130,7,5,0,0.0,28,0,1,27
Tuolumne,33.0,"1,961",33.0,16,219,5.0,"1,476","1,213",184,100,979,383,13.0,551,361,912,14.0,24.0,"2,087",915,"1,734",9.0,44.0,71,"9,876",907,908,471,134,461,"1,538",163,"3,778",171,597,"2,136","1,512",191,"6,228",881,345,103,42.0,299,90,157,351
Ventura,6.0,166,3.0,7,20,0.0,291,75,70,2,38,14,1.0,126,123,81,5.0,1.0,375,103,102,2.0,0.0,1,728,20,25,60,6,36,94,4,294,69,95,61,198,13,469,85,22,25,0.0,123,3,4,42
Yolo,45.0,"1,465",39.0,67,238,7.0,"1,084","1,115",175,84,"1,498",368,1.0,342,300,"1,241",12.0,21.0,"1,645","1,010","2,096",11.0,18.0,78,"11,124",796,306,523,48,503,"2,099",472,"4,859",174,609,"1,306","1,619",114,"8,199","2,055",204,148,10.0,504,126,174,359
Yuba,12.0,876,4.0,12,44,3.0,411,347,82,19,785,99,1.0,167,163,541,8.0,4.0,596,445,882,8.0,4.0,24,"5,215",311,96,177,32,206,570,829,"2,863",81,194,602,639,48,"3,974",397,37,50,3.0,292,34,55,189
