County,Violent Crimes,Highway,Shoplifting,Hands  Fists  Feet,Strong-Arm,$50 through $199,Bank,Over $400,Other,Day,Coin Operated Machine,Gas Station,Night,Under $50,Property Crimes,$200 through $400,No Force,Structural Property,Forcible Entry,Arson,Firearm,Homicide,Robbery,Rape,From Motor Vehicle,Other Weapon,Pocket-Picking,Larceny-Theft,Miscellaneous,Mobile Property,Rape (Forcible Rape prior to 2014),Motor Vehicle Accessories,Other Property,Purse-Snatching,Burglary,Knife or Cutting Instrument,Commercial,Trucks and Buses,Convenience Store,Over $200,Unknown,Residence,From Building,Motor Vehicle Theft,Non-Residence,Aggravated Assault,Bicycles,Attempted Rape,Automotive
Alameda,"10,785","3,132","3,865",892,"2,076","5,197",52.0,"9,984","6,742","1,087",54.0,120.0,"1,421","9,778","52,659","4,658","3,304",113.0,"8,694",293,"1,680",133.0,"5,244",355,"9,172","2,145",308.0,"29,617",873,139.0,413,"4,814",41,463.0,"11,998",278,402,499,189.0,0.0,970,"8,520","2,143","11,044","3,478","4,995","2,056",58.0,"10,275"
Alpine,7,0,0,3,0,11,0.0,30,62,3,0.0,0.0,2,13,105,30,15,0.0,5,0,0,0.0,0,0,10,2,0.0,84,0,0.0,0,1,0,0.0,20,2,0,0,0.0,0.0,5,10,11,1,10,7,0,0.0,0
Amador,98,2,13,51,5,141,0.0,195,395,55,7.0,1.0,48,202,972,104,180,5.0,98,8,3,2.0,7,7,81,21,0.0,642,3,1.0,8,13,2,4.0,278,6,0,5,0.0,0.0,32,143,121,52,135,81,8,1.0,31
Butte,576,49,520,151,119,714,3.0,963,833,171,6.0,3.0,154,997,"5,375",522,857,12.0,707,49,32,8.0,158,64,820,90,11.0,"3,196",49,10.0,75,194,27,10.0,"1,564",62,17,89,6.0,0.0,81,"1,158",410,615,406,335,392,11.0,455
Calaveras,120,2,12,46,7,79,0.0,247,432,35,1.0,1.0,41,293,"1,156",87,170,0.0,174,0,9,1.0,8,17,97,32,3.0,706,1,0.0,17,40,0,6.0,344,7,1,2,0.0,0.0,34,234,108,106,110,94,7,0.0,101
Colusa,45,0,6,11,4,48,1.0,134,158,20,0.0,0.0,20,66,495,54,44,0.0,111,4,1,1.0,4,1,68,13,0.0,302,1,3.0,2,20,1,2.0,155,13,2,4,0.0,0.0,3,112,32,38,43,38,16,1.0,24
Contra Costa,"3,928",509,"2,068","1,053",662,"3,365",32.0,"6,254","3,202",699,26.0,37.0,762,"4,107","30,239","2,634","2,541",62.0,"5,483",182,416,62.0,"1,362",148,"6,756",637,64.0,"16,360",375,52.0,161,"1,324",68,97.0,"8,024",237,158,578,107.0,0.0,673,"5,890","2,009","5,855","2,134","2,343",814,13.0,"5,074"
Del Norte,160,2,58,96,9,75,1.0,129,231,184,4.0,0.0,79,107,761,56,54,2.0,277,6,1,2.0,17,19,24,14,0.0,367,6,4.0,20,2,0,0.0,331,10,8,19,0.0,0.0,20,48,24,63,283,121,24,1.0,35
El Dorado,390,11,236,134,33,300,3.0,678,621,170,1.0,2.0,236,453,"3,093",247,443,7.0,791,13,11,4.0,53,26,386,129,11.0,"1,678",17,4.0,30,162,2,13.0,"1,234",29,5,5,5.0,0.0,139,689,206,181,545,303,42,4.0,148
Fresno,"5,803",787,"3,079","1,062",659,"5,848",22.0,"8,511","6,335","1,128",60.0,11.0,"1,938","6,111","41,761","3,658","3,280",72.0,"7,042",318,"1,035",55.0,"1,455",162,"7,494","1,287",171.0,"24,128",188,149.0,172,"3,658",97,45.0,"10,322",737,192,941,72.0,0.0,393,"6,863","1,941","7,311","3,459","4,121","1,345",10.0,"5,636"
Glenn,65,4,15,21,6,107,0.0,120,108,15,0.0,0.0,38,64,642,86,113,2.0,59,5,0,2.0,9,3,73,20,0.0,377,1,3.0,3,34,0,2.0,172,10,0,13,2.0,0.0,26,93,86,93,79,51,59,0.0,62
Humboldt,440,27,373,89,47,621,6.0,802,"1,010",212,3.0,5.0,123,719,"4,211",502,471,25.0,582,55,32,3.0,101,62,793,95,16.0,"2,644",24,8.0,67,83,22,27.0,"1,053",53,10,76,2.0,0.0,188,530,150,514,523,269,189,5.0,379
Imperial,452,44,375,107,45,411,0.0,496,"1,815",554,11.0,5.0,415,"1,877","5,708",256,"1,162",11.0,778,32,32,3.0,83,26,363,165,3.0,"3,040",11,5.0,30,219,16,57.0,"1,940",32,10,117,6.0,0.0,328,643,32,728,"1,297",336,165,4.0,506
Inyo,68,2,10,41,4,38,0.0,61,53,27,1.0,0.0,19,42,267,28,66,0.0,18,5,0,1.0,4,8,33,10,1.0,169,1,0.0,8,6,5,2.0,84,4,0,1,0.0,0.0,4,34,46,14,50,55,17,0.0,9
Kern,"4,447",450,"1,929","1,032",536,"2,933",9.0,"5,925","4,312","1,147",31.0,12.0,"1,262","4,259","30,071","2,608","4,147",155.0,"5,313",513,328,46.0,"1,029",177,"5,630","1,306",77.0,"15,725",166,189.0,184,"1,457",169,93.0,"9,460",522,170,"1,051",55.0,0.0,970,"6,081","1,787","4,886","3,379","3,188",409,7.0,"3,397"
Kings,542,24,342,181,57,649,0.0,656,599,86,18.0,0.0,77,542,"3,436",341,386,9.0,473,34,46,8.0,97,28,688,122,6.0,"2,188",23,9.0,30,147,16,12.0,859,58,22,78,9.0,0.0,167,529,301,389,330,407,75,2.0,273
Lake,331,9,111,133,28,195,0.0,273,327,107,0.0,0.0,94,324,"1,736",170,363,22.0,258,25,18,3.0,44,32,206,70,1.0,962,8,3.0,34,30,0,7.0,621,29,2,15,0.0,0.0,37,383,254,153,238,250,26,2.0,105
Lassen,120,0,20,24,8,62,0.0,87,77,9,1.0,0.0,4,92,478,53,99,0.0,66,5,11,1.0,10,9,105,54,0.0,294,5,2.0,9,9,3,4.0,165,11,0,3,0.0,0.0,75,77,58,19,88,100,20,0.0,12
Los Angeles,"46,116","10,983","20,684","6,190","11,108","26,705",148.0,"58,788","24,451","5,603",207.0,245.0,"5,030","30,687","228,174","22,176","15,425",493.0,"33,911","2,289","5,994",569.0,"19,905","1,690","52,720","7,056",347.0,"138,356","3,900",685.0,"1,904","9,161","1,111",612.0,"49,336","4,498","2,954","8,263",427.0,0.0,"5,025","33,678","24,717","40,482","15,658","23,738","5,457",214.0,"30,007"
Madera,799,18,126,411,54,264,1.0,642,869,151,8.0,3.0,249,501,"3,805",196,589,18.0,"1,039",22,33,5.0,139,27,365,122,6.0,"1,603",82,1.0,27,92,3,17.0,"1,628",62,10,10,12.0,0.0,150,"1,078",86,574,550,628,34,0.0,524
Marin,541,51,381,144,70,482,6.0,"1,297",659,193,11.0,3.0,168,854,"4,677",516,709,15.0,470,31,17,2.0,131,42,"1,048",132,19.0,"3,149",41,1.0,48,195,15,22.0,"1,179",67,19,52,0.0,0.0,137,681,492,349,498,360,322,6.0,268
Mariposa,55,0,19,32,1,44,0.0,80,135,9,1.0,0.0,10,56,365,37,52,1.0,76,1,1,0.0,1,3,22,14,0.0,217,0,0.0,5,8,0,2.0,128,2,0,2,0.0,0.0,23,86,27,20,42,49,3,2.0,3
Mendocino,483,7,216,274,32,183,3.0,231,367,99,3.0,1.0,111,324,"1,515",125,271,12.0,235,19,7,7.0,52,15,99,81,1.0,863,14,3.0,19,24,4,13.0,506,43,6,15,2.0,0.0,102,194,98,146,312,405,42,4.0,113
Merced,"1,409",109,806,509,155,"1,379",4.0,"1,592","1,888",181,22.0,5.0,464,"1,581","9,132",944,893,22.0,"1,711",68,238,14.0,274,58,"1,708",201,11.0,"5,496",48,12.0,61,368,34,17.0,"2,604",112,37,108,23.0,0.0,273,"1,686",399,"1,032",918,"1,060",277,3.0,853
Modoc,42,0,3,11,2,20,0.0,33,30,3,0.0,0.0,4,16,149,20,18,4.0,33,7,2,0.0,3,10,12,10,1.0,89,3,2.0,10,5,1,1.0,51,6,0,0,0.0,0.0,7,37,30,9,14,29,7,0.0,7
Mono,49,2,6,28,4,37,0.0,99,88,27,2.0,0.0,13,35,311,31,64,0.0,23,1,1,0.0,4,6,31,8,1.0,202,1,0.0,6,1,1,4.0,87,2,1,8,0.0,0.0,14,33,42,22,54,39,27,0.0,8
Monterey,"1,951",287,"1,199",658,263,"1,192",16.0,"1,849","1,231",264,15.0,14.0,328,"1,660","9,893",872,"1,195",29.0,"1,455",85,136,34.0,572,89,"1,719",300,15.0,"5,573",77,34.0,94,586,22,29.0,"2,650",157,99,138,42.0,0.0,167,"1,891",554,"1,670",759,"1,251",225,5.0,"1,462"
Napa,452,24,444,208,42,362,5.0,605,549,117,4.0,0.0,59,633,"2,799",319,432,5.0,199,15,14,3.0,69,32,515,87,28.0,"1,919",15,5.0,34,96,5,11.0,631,37,14,78,4.0,0.0,100,355,178,249,276,346,94,2.0,143
