County,Violent Crimes,Highway,Shoplifting,Hands  Fists  Feet,Strong-Arm,$50 through $199,Bank,Over $400,Other,Day,Coin Operated Machine,Gas Station,Night,Under $50,Property Crimes,$200 through $400,No Force,Structural Property,Forcible Entry,Arson,Firearm,Homicide,Robbery,Rape,From Motor Vehicle,Other Weapon,Pocket-Picking,Larceny-Theft,Miscellaneous,Mobile Property,Rape (Forcible Rape prior to 2014),Motor Vehicle Accessories,Other Property,Purse-Snatching,Burglary,Knife or Cutting Instrument,Commercial,Trucks and Buses,Convenience Store,Over $200,Unknown,Residence,From Building,Motor Vehicle Theft,Non-Residence,Aggravated Assault,Bicycles,Attempted Rape,Automotive
Nevada,268,0,145,146,11,170,0.0,323,331,43,4.0,2.0,78,235,"1,438",144,233,1.0,211,7,8,2.0,22,16,238,48,5.0,872,13,2.0,19,31,4,9.0,444,23,2,26,2.0,0.0,46,277,91,122,167,225,18,3.0,74
Orange,"6,509","1,149","7,949","1,081","1,205","9,370",75.0,"16,871","8,188",929,204.0,52.0,"1,351","10,750","61,658","8,106","4,249",82.0,"6,471",330,472,74.0,"2,245",383,"17,662","1,442",436.0,"45,097",258,65.0,410,"3,196",183,142.0,"10,720",785,439,"1,186",82.0,0.0,"1,783","6,657","4,199","5,841","4,063","3,780","3,121",27.0,"4,307"
Placer,694,8,842,232,56,"1,021",6.0,"2,159","1,253",167,9.0,3.0,248,"1,305","7,623",927,864,18.0,797,32,19,7.0,108,61,"2,029",213,12.0,"5,412",30,1.0,66,492,13,16.0,"1,661",49,37,166,5.0,0.0,269,977,655,550,684,513,104,5.0,295
Plumas,104,1,13,38,2,62,0.0,68,120,56,0.0,0.0,18,64,386,49,80,2.0,44,7,7,1.0,3,14,60,39,4.0,243,0,0.0,14,12,5,0.0,124,2,0,0,0.0,0.0,0,50,30,19,74,86,4,0.0,13
Riverside,"6,621",678,"5,290","1,149",748,"7,282",52.0,"13,176","8,656","1,918",103.0,65.0,"2,227","10,762","63,242","5,498","7,126",55.0,"11,149",186,601,79.0,"2,109",264,"14,306","1,733",93.0,"36,718",409,38.0,308,"2,060",93,105.0,"18,275",642,431,"1,740",152.0,0.0,"1,822","12,308","5,034","8,249","5,967","4,125","1,071",44.0,"5,654"
Sacramento,"7,481",915,"4,089","1,036","1,190","4,879",81.0,"10,436","6,853",996,61.0,66.0,"1,480","7,892","45,430","4,010","3,091",127.0,"7,528",286,"1,072",79.0,"2,536",316,"9,239","1,701",65.0,"27,217",524,57.0,348,"3,411",102,63.0,"10,619",709,483,878,115.0,0.0,437,"7,706","2,114","7,594","2,913","4,518","1,322",32.0,"6,304"
San Benito,196,7,66,84,20,73,1.0,180,137,22,0.0,0.0,123,125,915,81,128,1.0,217,13,13,5.0,28,16,171,31,2.0,459,7,0.0,16,28,12,3.0,345,19,0,14,7.0,0.0,45,155,43,111,190,147,9,0.0,74
San Bernardino,"8,551",944,"5,907","1,682","1,500","5,846",47.0,"11,460","8,535","2,103",63.0,76.0,"1,836","10,216","57,234","4,360","4,585",186.0,"11,854",415,712,106.0,"2,822",401,"11,014","1,799",123.0,"31,882",621,118.0,449,"2,335",111,155.0,"16,439",981,619,"1,464",179.0,0.0,"1,687","10,813","3,066","8,913","5,626","5,174",684,48.0,"6,454"
San Diego,"11,009","1,527","6,523","2,348","1,905","7,683",101.0,"16,563","5,146","1,169",72.0,75.0,"1,533","8,892","65,100","7,282","6,964",149.0,"6,362",314,718,82.0,"3,050",499,"15,341","2,743",54.0,"40,420",328,95.0,660,"1,787",70,206.0,"13,326","1,408",640,"1,242",132.0,0.0,"2,250","8,374","8,959","11,354","4,952","7,217","2,332",161.0,"9,537"
San Francisco,"5,465","1,794","2,169",660,"2,055",226,32.0,"1,602","7,537",981,24.0,10.0,"1,218","22,842","33,779",430,"2,364",63.0,"2,105",163,227,50.0,"3,142",117,"10,327",905,764.0,"25,100","1,046",63.0,134,182,37,72.0,"4,469",347,110,757,91.0,0.0,98,"2,172","3,314","4,210","2,297","2,139",711,17.0,"3,104"
San Joaquin,"5,694",726,"3,269",836,747,"3,591",45.0,"6,908","4,415",550,20.0,39.0,763,"5,160","29,142","2,534","2,610",87.0,"5,321",159,"1,385",87.0,"1,723",116,"6,738","1,180",35.0,"18,193",352,29.0,140,"2,034",43,49.0,"7,931",343,202,677,138.0,0.0,933,"5,685","1,069","3,018","2,246","3,744",564,24.0,"2,179"
San Luis Obispo,680,22,585,289,43,922,3.0,"1,354","1,472",183,41.0,2.0,248,"1,292","6,196",792,792,9.0,619,52,32,5.0,81,77,"1,442",140,6.0,"4,360",40,4.0,91,117,39,38.0,"1,411",42,1,31,3.0,0.0,245,735,266,425,676,503,393,14.0,329
San Mateo,"1,576",220,"1,259",273,260,"1,783",14.0,"3,568","2,235",620,35.0,23.0,480,"2,459","14,015","1,521","1,632",49.0,"1,564",88,175,16.0,492,125,"3,309",373,38.0,"9,331",88,19.0,135,464,20,49.0,"3,196",112,75,154,20.0,0.0,291,"1,805","1,406","1,488","1,391",933,536,10.0,"1,242"
Santa Barbara,"1,657",143,859,751,181,"1,310",11.0,"2,057","2,058",397,15.0,2.0,311,"1,929","9,083","1,071","1,273",26.0,894,73,52,10.0,298,116,"1,302",240,18.0,"6,367",67,10.0,130,565,37,33.0,"2,167",176,27,33,23.0,0.0,306,"1,153",713,549,"1,014","1,219",804,14.0,441
Santa Clara,"4,564",419,"4,689",558,847,"4,814",60.0,"8,967","3,031",521,77.0,32.0,878,"7,364","38,970","3,826","2,272",125.0,"4,957",284,333,56.0,"1,586",306,"8,608",984,73.0,"24,971",283,52.0,352,"2,803",107,116.0,"7,229",695,466,"1,026",121.0,0.0,977,"4,853","3,253","6,770","2,376","2,570","2,321",46.0,"5,406"
Santa Cruz,"1,169",54,"1,258",404,127,"1,138",10.0,"1,985","1,016",218,15.0,7.0,420,"1,797","8,744","1,044","1,014",19.0,944,39,55,10.0,252,50,"2,135",234,23.0,"5,964",123,13.0,75,366,7,38.0,"1,958",139,7,99,31.0,0.0,192,"1,128",444,822,830,832,669,25.0,634
Shasta,"1,302",17,565,566,71,653,0.0,962,366,167,2.0,2.0,301,953,"4,954",428,747,5.0,669,9,107,6.0,132,88,"1,112",247,7.0,"2,996",53,2.0,98,171,2,8.0,"1,416",146,26,116,10.0,0.0,148,800,682,542,616,"1,066",83,10.0,346
Sierra,5,0,0,4,0,6,0.0,24,20,0,0.0,0.0,1,5,56,3,13,1.0,4,2,0,0.0,0,0,12,1,0.0,38,0,1.0,0,0,0,1.0,17,0,0,0,0.0,0.0,3,13,5,1,4,5,0,0.0,1
Siskiyou,155,1,99,51,8,136,2.0,158,157,13,8.0,0.0,46,158,863,93,107,4.0,147,5,11,2.0,13,10,107,39,0.0,545,4,1.0,12,27,0,1.0,254,27,2,8,0.0,0.0,41,154,122,64,100,128,24,2.0,43
Solano,"1,802",203,"1,068",349,347,"1,189",19.0,"2,234","2,166",632,11.0,28.0,702,"1,940","12,087",935,"1,247",30.0,"2,713",107,210,30.0,694,111,"1,472",278,18.0,"6,298",160,44.0,113,616,33,16.0,"3,960",128,150,333,48.0,0.0,132,"2,494",739,"1,829","1,466",965,192,2.0,"1,330"
Sonoma,"1,702",65,"1,287",658,130,"1,003",6.0,"1,722","1,371",343,9.0,3.0,186,"2,409","8,307",907,"1,026",25.0,638,60,84,11.0,234,133,"1,903",404,26.0,"6,041",55,11.0,138,381,24,37.0,"1,664",173,47,92,16.0,0.0,154,981,618,602,683,"1,319",409,5.0,440
Stanislaus,"2,484",283,"2,284",762,333,"1,899",19.0,"3,006","3,173",602,23.0,30.0,660,"4,284","19,189","1,433","1,846",67.0,"3,500",157,243,34.0,702,104,"2,963",426,21.0,"10,622",69,57.0,117,982,33,40.0,"5,346",200,169,429,33.0,0.0,390,"3,694",678,"3,221","1,652","1,631",458,13.0,"2,587"
Sutter,343,7,243,118,31,354,0.0,670,660,48,6.0,2.0,42,471,"2,703",379,299,5.0,259,15,23,4.0,62,28,703,89,7.0,"1,874",35,5.0,28,81,5,5.0,558,19,8,33,0.0,0.0,104,364,90,271,194,249,79,0.0,189
Tehama,348,2,95,51,17,207,0.0,241,293,5,2.0,1.0,8,321,"1,453",165,284,4.0,133,10,6,2.0,36,12,261,212,2.0,934,19,0.0,12,24,6,6.0,417,29,2,29,4.0,0.0,167,237,188,102,180,298,63,0.0,54
Trinity,34,0,1,16,0,11,0.0,17,7,1,0.0,0.0,2,3,138,8,20,0.0,45,0,3,3.0,1,5,3,3,22.0,39,1,0.0,5,1,0,0.0,65,3,0,3,0.0,0.0,25,37,3,34,28,25,2,0.0,29
Tulare,"1,905",150,"1,313",464,166,"2,321",2.0,"3,230","2,466",421,61.0,16.0,542,"2,365","15,248","1,452","1,003",14.0,"2,974",67,307,39.0,324,89,"3,037",439,253.0,"9,368",86,9.0,97,840,44,41.0,"3,977",235,26,433,14.0,0.0,269,"2,745",913,"1,903","1,232","1,445",444,8.0,"1,264"
Tuolumne,106,3,43,12,12,141,0.0,230,240,57,2.0,0.0,66,234,"1,258",124,238,10.0,185,20,3,1.0,21,15,176,43,6.0,729,7,6.0,17,24,4,3.0,423,9,3,5,0.0,0.0,38,262,224,106,161,67,11,2.0,95
Ventura,"1,705",369,"2,329",266,292,"2,404",15.0,"3,523","1,608",259,41.0,7.0,389,"2,809","14,169","1,765","1,240",41.0,"1,414",111,136,15.0,616,92,"3,938",326,36.0,"10,501",75,23.0,101,770,47,6.0,"2,654",245,102,236,12.0,0.0,336,"1,670","1,177","1,014",984,973,596,9.0,663
Yolo,569,55,533,156,96,894,3.0,"1,182",734,168,7.0,4.0,197,783,"5,288",770,609,20.0,607,56,22,5.0,151,88,889,73,25.0,"3,629",51,8.0,98,291,28,17.0,"1,216",64,10,50,6.0,0.0,125,726,255,443,490,315,878,10.0,342
Yuba,341,5,157,82,18,263,0.0,393,359,70,2.0,0.0,78,281,"2,013",199,274,6.0,355,12,30,4.0,40,24,368,124,6.0,"1,136",6,3.0,24,84,3,10.0,629,37,8,16,3.0,0.0,78,403,111,248,226,273,39,0.0,194
