" ","2011","2017"
"Crimes","",""
"Violent Crimes","1,302","1,225"
"Homicide","6","6"
"Rape (Forcible Rape prior to 2014)","98","118"
"Rape","88","115"
"Attempted Rape","10","3"
"Robbery","132","177"
"Weapon","",""
"Firearm","32","33"
"Knife or Cutting Instrument","14","22"
"Other Weapon","15","20"
"Strong-Arm","71","102"
"Location","",""
"Highway","17","68"
"Commercial","26","8"
"Gas Station","2","6"
"Convenience Store","10","46"
"Residence","24","29"
"Bank","0","3"
"Miscellaneous","53","17"
"Aggravated Assault","1,066","924"
"Weapon","",""
"Firearm","107","116"
"Knife or Cutting Instrument","146","182"
"Other Weapon","247","381"
"Hands  Fists  Feet","566","245"
"Property Crimes","4,954","5,645"
"Burglary","1,416","1,249"
"Means of Entry","",""
"Forcible Entry","669","745"
"No Force","747","504"
"Location / Time","",""
"Residence","800","778"
"Night","314","170"
"Day","234","215"
"Unknown","252","393"
"Non-Residence","616","471"
"Night","301","190"
"Day","167","61"
"Unknown","148","220"
"Motor Vehicle Theft","542","1,221"
"Automotive","346","841"
"Trucks and Buses","116","260"
"Other","80","120"
"Larceny-Theft","2,996","3,175"
"Type","",""
"Pocket-Picking","7","6"
"Purse-Snatching","8","5"
"Shoplifting","565","557"
"From Motor Vehicle","1,112","1,397"
"Motor Vehicle Accessories","171","351"
"Bicycles","83","113"
"From Building","682","286"
"Coin Operated Machine","2","1"
"Other","366","459"
"Value","",""
"Over $400","962","1,095"
"Over $200","0","0"
"$200 through $400","428","411"
"$50 through $199","653","577"
"Under $50","953","1,092"
"Arson","9","61"
"Structural Property","5","11"
"Mobile Property","2","0"
"Other Property","2","50"
