" ","2011","2017"
"Crimes","",""
"Violent Crimes","440","646"
"Homicide","3","8"
"Rape (Forcible Rape prior to 2014)","67","74"
"Rape","62","70"
"Attempted Rape","5","4"
"Robbery","101","172"
"Weapon","",""
"Firearm","21","57"
"Knife or Cutting Instrument","11","21"
"Other Weapon","22","29"
"Strong-Arm","47","65"
"Location","",""
"Highway","27","45"
"Commercial","10","22"
"Gas Station","5","21"
"Convenience Store","2","4"
"Residence","27","29"
"Bank","6","2"
"Miscellaneous","24","49"
"Aggravated Assault","269","392"
"Weapon","",""
"Firearm","32","58"
"Knife or Cutting Instrument","53","65"
"Other Weapon","95","211"
"Hands  Fists  Feet","89","58"
"Property Crimes","4,211","4,196"
"Burglary","1,053","874"
"Means of Entry","",""
"Forcible Entry","582","527"
"No Force","471","347"
"Location / Time","",""
"Residence","530","481"
"Night","115","135"
"Day","267","243"
"Unknown","148","103"
"Non-Residence","523","393"
"Night","123","140"
"Day","212","174"
"Unknown","188","79"
"Motor Vehicle Theft","514","827"
"Automotive","379","641"
"Trucks and Buses","76","128"
"Other","59","58"
"Larceny-Theft","2,644","2,495"
"Type","",""
"Pocket-Picking","16","10"
"Purse-Snatching","27","11"
"Shoplifting","373","547"
"From Motor Vehicle","793","806"
"Motor Vehicle Accessories","83","111"
"Bicycles","189","194"
"From Building","150","154"
"Coin Operated Machine","3","2"
"Other","1,010","660"
"Value","",""
"Over $400","802","783"
"Over $200","0","0"
"$200 through $400","502","396"
"$50 through $199","621","563"
"Under $50","719","753"
"Arson","55","65"
"Structural Property","25","43"
"Mobile Property","8","6"
"Other Property","22","16"
