" ","2011","2017"
"Crimes","",""
"Violent Crimes","576","921"
"Homicide","8","7"
"Rape (Forcible Rape prior to 2014)","75","182"
"Rape","64","154"
"Attempted Rape","11","28"
"Robbery","158","143"
"Weapon","",""
"Firearm","17","33"
"Knife or Cutting Instrument","13","16"
"Other Weapon","9","19"
"Strong-Arm","119","75"
"Location","",""
"Highway","49","40"
"Commercial","17","19"
"Gas Station","3","5"
"Convenience Store","6","2"
"Residence","31","32"
"Bank","3","4"
"Miscellaneous","49","41"
"Aggravated Assault","335","589"
"Weapon","",""
"Firearm","32","52"
"Knife or Cutting Instrument","62","59"
"Other Weapon","90","137"
"Hands  Fists  Feet","151","341"
"Property Crimes","5,375","7,280"
"Burglary","1,564","1,599"
"Means of Entry","",""
"Forcible Entry","707","908"
"No Force","857","691"
"Location / Time","",""
"Residence","1,158","1,048"
"Night","317","249"
"Day","594","550"
"Unknown","247","249"
"Non-Residence","406","551"
"Night","154","174"
"Day","171","265"
"Unknown","81","112"
"Motor Vehicle Theft","615","941"
"Automotive","455","703"
"Trucks and Buses","89","151"
"Other","71","87"
"Larceny-Theft","3,196","4,740"
"Type","",""
"Pocket-Picking","11","5"
"Purse-Snatching","10","14"
"Shoplifting","520","658"
"From Motor Vehicle","820","1,333"
"Motor Vehicle Accessories","194","274"
"Bicycles","392","489"
"From Building","410","440"
"Coin Operated Machine","6","7"
"Other","833","1,520"
"Value","",""
"Over $400","963","1,503"
"Over $200","0","0"
"$200 through $400","522","794"
"$50 through $199","714","1,108"
"Under $50","997","1,335"
"Arson","49","174"
"Structural Property","12","145"
"Mobile Property","10","4"
"Other Property","27","25"
